频道名称,地址(延时:10秒)
山西卫视,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221226042/3221225917.smil
陕西卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226453/iptv127270.smil
上海东方卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226512/10000100000000060000000000356890_0.smil
上海哈哈炫动,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226084/000000000e0s.smil
上海纪实人文,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226521/10000100000000060000000000425439_0.smil
深圳卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226472/10000100000000060000000000133821_0.smil
四川卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226583/10000100000000060000000000623271_0.smil
天津卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226509/10000100000000060000000000356893_0.smil
未知,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226598/10000100000000060000000000554121_0.smil
西藏卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226102/000000000vfo.smil
新疆卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226149/iptv147985.smil
延边卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226555/10000100000000060000000000599471_0.smil
云南卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226455/iptv127269.smil
浙江卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226507/10000100000000060000000000356891_0.smil
重庆卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226644/10000100000000060000000000623270_0.smil
